"","V1"
"1",1
"2",1
"3",0
"4",1
"5",1
"6",1
"7",0
"8",0
"9",1
"10",1
"11",0
"12",1
"13",1
"14",0
"15",1
"16",1
"17",0
"18",0
"19",0
"20",1
"21",1
"22",0
"23",1
"24",0
"25",0
"26",0
"27",1
"28",1
"29",0
"30",1
"31",0
"32",1
"33",1
"34",0
"35",0
"36",0
"37",1
"38",1
"39",1
"40",0
"41",1
"42",1
"43",1
"44",0
"45",1
"46",1
"47",0
"48",1
"49",0
"50",1
"51",1
"52",1
"53",1
"54",0
"55",1
"56",0
"57",0
"58",1
"59",1
"60",1
"61",0
"62",1
"63",1
"64",1
"65",0
"66",0
"67",1
"68",1
"69",0
"70",0
"71",0
"72",0
"73",1
"74",0
"75",1
"76",1
"77",1
"78",0
"79",1
"80",1
"81",1
"82",1
"83",0
"84",0
"85",1
"86",1
"87",1
"88",0
"89",1
"90",0
"91",1
"92",0
"93",0
"94",0
"95",0
"96",1
"97",0
"98",0
"99",1
"100",1
"101",1
"102",1
"103",1
"104",0
"105",1
"106",0
"107",1
"108",0
"109",0
"110",0
"111",1
"112",0
"113",0
"114",0
"115",1
"116",1
"117",1
"118",1
"119",1
"120",0
"121",0
"122",0
"123",0
"124",0
"125",1
"126",0
"127",0
"128",1
"129",0
"130",0
"131",1
"132",0
"133",1
"134",1
"135",1
"136",0
"137",1
"138",1
"139",0
"140",0
"141",0
"142",1
"143",0
"144",1
"145",1
"146",1
"147",1
"148",0
"149",1
"150",0
"151",0
"152",0
"153",0
"154",1
"155",0
"156",0
"157",1
"158",1
"159",1
"160",1
"161",0
"162",1
"163",0
"164",0
"165",0
"166",1
"167",1
"168",1
"169",1
"170",1
"171",0
"172",0
"173",1
"174",1
"175",0
"176",0
"177",1
"178",0
"179",1
"180",1
"181",0
"182",0
"183",0
"184",1
"185",1
"186",0
"187",0
"188",1
"189",1
"190",0
"191",1
"192",1
"193",0
"194",1
"195",0
"196",0
"197",1
"198",0
"199",1
"200",0
"201",1
"202",0
"203",0
"204",0
"205",1
"206",1
"207",1
"208",0
"209",0
"210",0
"211",0
"212",1
"213",0
"214",0
"215",0
"216",1
"217",0
"218",0
"219",1
"220",1
"221",0
"222",1
"223",0
"224",0
"225",1
"226",1
"227",0
"228",0
"229",0
"230",0
"231",1
"232",0
"233",0
"234",0
"235",0
"236",1
"237",0
"238",0
"239",1
"240",0
"241",0
"242",0
"243",1
"244",0
"245",0
"246",0
"247",1
"248",1
"249",0
"250",0
"251",1
"252",1
"253",1
"254",0
"255",0
"256",0
"257",1
"258",1
"259",0
"260",0
"261",1
"262",1
"263",0
"264",0
"265",0
"266",1
"267",1
"268",0
"269",0
"270",0
"271",0
"272",1
"273",0
"274",1
"275",1
"276",1
"277",1
"278",0
"279",0
"280",1
"281",1
"282",0
"283",0
"284",1
"285",1
"286",0
"287",0
"288",1
"289",0
"290",0
"291",0
"292",1
"293",0
"294",1
"295",1
"296",1
"297",0
"298",1
"299",0
"300",0
"301",0
"302",0
"303",1
"304",1
"305",0
"306",0
"307",1
"308",1
"309",0
"310",1
"311",0
"312",0
"313",1
"314",0
"315",0
"316",0
"317",1
"318",0
"319",0
"320",0
"321",1
"322",0
"323",1
"324",1
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",1
"333",0
"334",0
"335",1
"336",0
"337",1
"338",1
"339",1
"340",1
"341",0
"342",1
"343",0
"344",1
"345",0
"346",1
"347",0
"348",1
"349",0
"350",0
"351",0
"352",1
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",1
"360",1
"361",0
"362",1
"363",1
"364",0
"365",1
"366",0
"367",0
"368",0
"369",1
"370",1
"371",0
"372",0
"373",1
"374",1
"375",1
"376",1
"377",0
"378",0
"379",0
"380",1
"381",1
"382",0
"383",1
"384",0
"385",1
"386",1
"387",0
"388",1
"389",1
"390",0
"391",0
"392",1
"393",1
"394",1
"395",0
"396",0
"397",0
"398",1
"399",0
"400",0
"401",0
"402",1
"403",1
"404",0
"405",1
"406",1
"407",0
"408",0
"409",1
"410",0
"411",0
"412",0
"413",0
"414",0
"415",1
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",1
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",1
"430",1
"431",0
"432",1
"433",0
"434",1
"435",0
"436",0
"437",1
"438",1
"439",1
"440",0
"441",1
"442",1
"443",1
"444",0
"445",1
"446",0
"447",1
"448",1
"449",0
"450",0
"451",0
"452",1
"453",1
"454",0
"455",1
"456",0
"457",0
"458",1
"459",1
"460",0
"461",0
"462",1
"463",1
"464",1
"465",1
"466",0
"467",1
"468",0
"469",1
"470",0
"471",1
"472",0
"473",1
"474",1
"475",1
"476",0
"477",0
"478",0
"479",1
"480",1
"481",1
